year BS1 BS2 BS3 BS4 BS5 BS6 BS7 BS8 BS9 BS10 BS11 BS12 BS13 BS14 BS15 BS16 BS17 BS18 BS19 BS20 BS21 BS22 BS23 BS24 BS25 BS26 BS27 BS28 BS29 BS30 BS31 BS32 BS33 BS34 BS35 BS36 BS37 BS38 BS39 BS40 BS41 BS42 BS43 BS44 BS45 BS46 BS47 BS48 BS49 BS50 BS51 BS52 BS53 BS54 BS55 BS56 BS57 BS58 BS59 BS60 BS61 BS62 BS63 BS64 BS65 BS66 BS67 BS68 BS69 BS70 BS71 BS72 BS73 BS74 BS75 BS76 BS77 BS78 BS79 BS80 BS81 BS82 BS83 BS84 BS85 BS86 BS87 BS88 BS89 BS90 BS91 BS92 BS93 BS94 BS95 BS96 BS97 BS98 BS99 BS100
1900 a00z a05q a0b3 a09h a08s a00k a069 a07v a06m a037 a00l a06q a04o a000 a078 a09k a07z a044 a00e a02f a0a1 a0b2 a082 a08p a04i a0a5 a03d a02m a012 a03t a08k a060 a09j a05p a05n a02k a04s a08x a004 a03w a09e a0as a00t a04q a006 a08g a005 a06f a01g a09d a02s a025 a085 a05v a071 a07s a04d a03f a024 a0al a06c a08r a02e a07r a06i a03j a015 a07x a049 a06b a09u a039 a041 a00b a07o a0a3 a02h a09n a06v a05y a01f a09s a04n a00m a061 a0b0 a03p a07u a0a7 a0ap a06l a021 a018 a091 a0aa a007 a02j a09v a03h a0av
1901 a14s a162 a14w a11y a1ab a19l a136 a141 a15i a116 a14a a13u a161 a10t a15y a12q a14r a10n a15v a10h a11m a182 a107 a19f a146 a123 a17n a17k a158 a1a8 a126 a17y a18e a19w a18c a1aw a13p a14f a12o a105 a18k a13o a19y a1av a10q a11q a19m a15e a199 a145 a14y a14n a11f a18v a13f a16i a165 a15d a109 a19g a153 a16j a18r a197 a151 a17w a115 a18j a11h a13d a18h a13c a15z a10r a16q a15g a15l a172 a16b a196 a15x a15j a16o a1a1 a19k a185 a17e a13w a16n a12p a102 a19r a189 a16m a17f a149 a16g a16l a1af a135
1902 a29m a23k a21j a298 a29z a206 a276 a25i a20c a27w a235 a28v a23r a293 a263 a204 a219 a260 a223 a292 a27o a238 a26d a289 a28u a25q a2aq a25f a26p a202 a29e a22z a2b3 a26l a20g a218 a208 a24v a234 a233 a296 a22b a28n a21q a26c a28j a230 a20f a20o a25a a2a8 a20q a29s a20m a27p a25r a215 a2a3 a267 a249 a26e a29c a280 a299 a24a a284 a228 a2b0 a24u a2ar a27t a2ah a262 a29g a25m a27y a29n a21e a2a5 a2ap a22g a21w a28h a28k a295 a27f a229 a266 a2av a22k a25k a20h a269 a285 a27k a21i a24p a22i a24x a24i
1903 a36v a3ak a32z a39d a320 a36p a39j a37t a395 a375 a32r a342 a369 a311 a366 a389 a312 a315 a335 a30u a3aq a39w a339 a36l a33x a3b1 a38v a37j a34u a38z a36q a361 a310 a3a3 a31o a345 a36h a34g a35b a35a a31l a32j a319 a36w a316 a3ad a37l a31q a35g a3am a36b a32x a360 a31d a38i a33p a32n a34b a39p a3ax a37r a35p a39m a3as a36a a33i a344 a386 a31a a358 a3a1 a30b a36g a31i a33w a3a5 a34w a349 a39u a384 a382 a39a a35l a31z a3a9 a36j a33c a341 a33j a34e a35t a38y a304 a38h a33y a30i a327 a35e a38j a39l
1904 a48r a42a a405 a489 a45g a48f a41y a47s a470 a47h a42f a49t a402 a422 a4ah a471 a43m a427 a40g a43l a46o a48i a40j a46c a42d a42j a41q a41w a45w a4av a43d a49d a476 a40p a40c a41l a413 a43f a473 a41i a420 a42m a446 a443 a498 a439 a48c a428 a488 a48b a41f a426 a467 a44s a421 a481 a49p a42y a40t a41j a479 a45m a49h a45t a49c a495 a41e a43e a410 a44d a45v a45n a44b a41s a4a9 a42q a48p a41m a44a a40n a48q a4af a4aj a460 a43n a46d a425 a4a6 a403 a42l a40e a44i a43r a48k a41a a4a7 a47e a47j a43q a46l
1905 a51x a558 a57v a56d a59d a519 a589 a5ah a54w a5a7 a510 a53w a545 a57k a58b a59k a50j a51q a54s a57e a5a1 a53v a594 a53q a52e a57q a59m a527 a507 a58v a503 a51s a561 a506 a517 a50w a54x a51r a512 a5ab a55h a573 a53e a56w a54h a56r a5a9 a58d a59s a5a0 a55i a546 a515 a520 a50g a55j a56x a57w a5a3 a58o a58p a505 a50x a5ap a580 a57y a58e a54f a5b3 a541 a57b a54v a55o a59t a54c a532 a58n a536 a55n a516 a53m a5au a52y a51e a5av a54m a59u a53y a56z a50k a59z a54j a5a2 a587 a55a a56t a54g a55b a58w a56g
1906 a64d a62h a6aa a67o a630 a69z a67s a66y a60p a64e a66m a68k a615 a63k a61x a646 a622 a682 a696 a6ah a65a a62j a69t a61q a60i a68l a643 a608 a69w a60n a6af a66x a699 a64v a65k a69e a63h a650 a62w a624 a62f a66q a64m a66u a631 a62z a68w a625 a665 a60x a62u a687 a65i a6ax a66b a61l a62a a657 a67q a600 a65r a65l a6av a64h a607 a68t a638 a6b2 a69m a6ag a63p a6ay a626 a61g a61w a61s a69r a654 a655 a644 a601 a6as a60k a633 a60s a674 a61r a60l a66l a6ak a627 a61m a671 a65d a65w a66d a602 a63a a679 a65z
1907 a70i a76e a72q a722 a75a a7af a74o a79w a74z a70h a710 a76m a77h a73c a77u a7as a787 a76t a763 a76d a74d a73z a705 a71c a726 a75p a72y a77n a73t a735 a72o a78w a7b2 a747 a730 a7av a7a0 a76h a74f a767 a71g a78n a74y a728 a78p a70s a707 a77f a729 a72e a75l a77w a75m a741 a78m a72n a73j a79t a7ac a712 a761 a77r a76r a74r a700 a703 a70d a765 a7a7 a79q a70p a74s a71q a74p a76v a748 a74w a754 a79b a78x a72d a75b a75t a74x a764 a72u a70t a734 a77b a739 a72c a78l a778 a73b a72v a701 a79p a72a a743 a70l
1908 a83x a83d a81y a8aj a81v a81k a81u a801 a87l a804 a82i a82v a83v a8aq a88g a822 a856 a824 a80a a87w a89n a82j a82k a83h a897 a859 a847 a83m a81a a83t a80v a83o a860 a82s a82o a82g a83y a818 a873 a805 a86o a858 a82p a87e a836 a893 a88c a842 a81e a80f a87z a833 a871 a8an a899 a80u a8b0 a80j a812 a88w a83c a8a5 a85j a83q a832 a87s a837 a8ab a80d a84q a82x a81h a81f a849 a88q a843 a879 a81p a81o a80r a83r a81j a840 a80g a87i a88r a87h a8a2 a88h a84a a84h a891 a81x a89j a83u a82l a80s a809 a86c a82w
1909 a97h a973 a93y a952 a90l a94x a97g a924 a92g a9ao a99g a933 a9a8 a961 a938 a92z a92i a95w a94j a96e a97i a96f a9a7 a99n a93c a95a a96u a90v a960 a949 a95r a99f a9a6 a9a0 a99r a94d a91w a90a a944 a97u a937 a92j a976 a9a5 a92n a917 a993 a94w a94m a9ah a906 a93j a940 a929 a90c a955 a98j a92s a94s a98o a908 a95o a978 a9as a97k a94y a9av a93w a95h a90p a97f a99j a94u a99u a95v a96t a903 a94f a91m a980 a96q a946 a9aj a97z a928 a93o a967 a92t a97m a92v a9aq a92y a98c a92a a91l a95d a96b a991 a94c a9ad
1910 b01w b06m b05x b03r b06f b05r b02x b05k b06b b008 b083 b002 b04g b0ao b02g b08l b078 b08z b093 b01z b012 b05f b095 b06v b09z b09u b03m b05b b0a1 b064 b02a b07w b016 b035 b04n b0ae b092 b09i b09d b07y b03a b03k b02q b06d b015 b03q b04c b034 b04p b02m b077 b059 b01g b05g b06j b071 b09k b05l b06a b06n b03s b09j b07x b057 b037 b00i b06i b00o b01o b02o b023 b09n b063 b09w b0an b02s b046 b085 b05u b01m b07e b05m b03d b04j b02k b0ac b0aj b07g b08x b08o b056 b07n b04e b039 b005 b05i b07j b02b b047 b079
