year FF1 FF2 FF3 FF4 FF5 FF6 FF7 FF8 FF9 FF10 FF11 FF12 FF13 FF14 FF15 FF16 FF17 FF18 FF19 FF20 FF21 FF22 FF23 FF24 FF25 FF26 FF27 FF28 FF29 FF30 FF31 FF32 FF33 FF34 FF35 FF36 FF37 FF38 FF39 FF40 FF41 FF42 FF43 FF44 FF45 FF46 FF47 FF48 FF49 FF50 FF51 FF52 FF53 FF54 FF55 FF56 FF57 FF58 FF59 FF60 FF61 FF62 FF63 FF64 FF65 FF66 FF67 FF68 FF69 FF70 FF71 FF72 FF73 FF74 FF75 FF76 FF77 FF78 FF79 FF80 FF81 FF82 FF83 FF84 FF85 FF86 FF87 FF88 FF89 FF90 FF91 FF92 FF93 FF94 FF95 FF96 FF97 FF98 FF99 FF100
2070 r0a8 r03m r01o r07d r080 r066 r01u r07z r02w r01c r05d r03n r01y r08p r02g r07j r09e r05t r0ae r06t r077 r00i r04e r052 r08d r05h r08e r027 r07o r04o r09u r0aj r04b r00o r002 r058 r01p r097 r056 r00w r07c r07b r08x r00z r07p r07y r09a r021 r00r r020 r0ai r01i r04g r084 r06l r049 r04v r08o r03e r039 r06n r0at r05m r006 r06b r05k r02d r0ab r08n r02j r014 r06v r01v r06z r03w r00p r040 r09q r09z r03g r035 r09c r08b r05o r01z r01n r02x r03t r00y r04k r09x r057 r05l r0am r06o r04m r06g r0ak r038 r050
2071 r163 r10w r1ao r16x r13z r19b r150 r11t r19c r199 r126 r12o r16s r13l r14h r15f r12h r10d r169 r16e r19r r189 r13g r17c r1a7 r100 r12a r182 r10g r18l r147 r13c r1ae r15h r19o r1af r17e r16z r11j r15e r110 r145 r14t r179 r11e r10f r17w r18u r11w r10v r142 r10t r18d r16d r12m r102 r18c r13s r14m r198 r17g r10b r15p r12p r14s r112 r18p r1b1 r12i r14w r17o r14d r14r r19p r10a r11i r172 r13y r103 r1a9 r12e r10e r11a r15a r107 r12w r123 r11s r175 r1ag r12x r13p r1al r1b3 r18v r11v r130 r18j r16t r10k
2072 r28g r20p r25r r282 r26b r27d r22u r22i r23r r267 r20m r22p r240 r26j r21r r20g r213 r29g r28s r278 r290 r22k r2ap r24t r204 r226 r21u r27i r25z r22w r22o r28z r24b r26i r21n r295 r25c r29m r20o r230 r22a r2ay r26a r266 r22g r29h r25l r243 r24m r248 r23k r2ax r265 r273 r27g r2a5 r27e r2ah r26w r26z r262 r25a r28o r29n r20q r28e r29i r274 r232 r231 r22m r250 r211 r2af r271 r276 r24p r20i r272 r222 r24x r23a r28a r29f r21s r297 r20v r27j r25i r2av r27c r23q r25o r25h r21i r24k r25k r23i r29b r23b
2073 r33q r38x r36e r37a r3a3 r384 r39t r39m r3aq r35c r31c r3am r39n r34h r3a8 r335 r3ar r34z r369 r30r r35q r32p r323 r380 r363 r31o r371 r343 r361 r375 r3at r36l r36a r310 r32w r34s r39x r39k r32c r39s r39o r35r r39i r39h r3ay r37l r36p r30x r33t r33o r357 r317 r30p r37g r38f r35g r34e r37z r38d r379 r30y r31x r32u r352 r33e r35t r370 r30q r35y r33d r38t r3aa r34x r33m r318 r3al r366 r307 r30b r34y r30d r39c r34c r34j r387 r33v r301 r38u r39f r391 r36r r35f r37j r305 r35v r300 r33g r30n r337 r33w
2074 r43a r41o r43w r41t r42e r417 r46s r40b r43t r46d r4av r4aq r41j r451 r474 r403 r48w r490 r43c r43j r49q r423 r4al r48x r49o r46u r404 r45m r48z r45l r428 r46h r49k r475 r45t r43x r44r r42p r47a r409 r43n r44f r47o r41a r468 r454 r46w r43m r42g r45n r477 r48g r40u r499 r472 r4b0 r45k r42o r46c r49w r425 r47i r45q r45s r47h r45v r447 r4a1 r4ah r46n r435 r487 r49l r40s r48p r49t r47q r43i r42k r48d r42r r44j r4aj r40i r484 r44p r42m r44y r41f r44n r494 r45g r48n r40j r43p r421 r49m r485 r46g r405
2075 r50d r558 r51k r5ak r59o r50f r54e r532 r565 r57p r52q r52t r515 r598 r545 r51e r55i r59m r510 r58k r51d r55q r55t r584 r509 r50j r50y r58l r508 r51o r50s r56f r50n r594 r57x r51g r51j r59j r51t r51b r5aj r569 r5av r50z r51q r56e r563 r578 r54h r54g r52m r506 r50r r56d r58e r579 r555 r588 r58c r512 r57q r513 r58f r517 r501 r507 r51w r518 r549 r516 r527 r59e r53z r52w r571 r591 r554 r54z r592 r51v r58r r51r r53w r500 r57u r59q r54l r530 r55b r51i r51z r51u r51p r54j r50h r589 r50p r50e r56r r50w
2076 r63y r6as r6an r644 r6a6 r61l r66r r616 r654 r65r r61y r66d r61b r63c r68d r61s r64i r698 r60o r6b1 r610 r67t r671 r65h r63a r626 r64u r63z r659 r66j r652 r653 r61u r63g r65u r60q r61z r670 r63e r64d r6a3 r6al r60t r67d r66h r61d r657 r62s r62z r6ai r64q r60r r6ar r68i r6ak r6a4 r65j r69r r696 r69l r68p r640 r68w r65v r67k r63r r60s r615 r62l r67r r68v r660 r634 r68k r61q r69q r69m r67l r6at r639 r64c r6aa r6a8 r64x r67i r60i r612 r63f r63u r690 r67g r67x r64h r69v r699 r6ap r63n r611 r65g r68z
2077 r70t r79v r78u r70p r72n r72f r71c r774 r78n r715 r7a2 r7ai r77f r79q r73q r76c r7a3 r76t r76l r760 r798 r7av r73d r79w r76r r75b r766 r7aw r717 r709 r76b r7b1 r79z r72z r747 r767 r797 r7ak r727 r74v r75x r759 r71s r79n r791 r76a r74j r76u r77w r793 r73v r75f r74z r79l r75w r743 r7b2 r74i r77m r71p r7a5 r726 r752 r703 r7am r73k r778 r7a6 r734 r70y r70z r75y r75q r73f r75h r76z r72j r7ad r74n r74f r769 r712 r75i r714 r757 r7a7 r730 r79u r71m r70e r72p r70m r790 r702 r74u r76s r772 r784 r71j r7as
2078 r87q r85o r87b r808 r84t r82r r871 r80t r805 r803 r818 r84s r836 r81g r884 r88s r807 r855 r851 r8a9 r84p r85i r89m r865 r877 r80k r874 r81e r86m r89l r80q r88d r826 r86b r88x r81c r82c r88b r80a r80g r864 r834 r88n r89o r84i r89u r81j r87h r85s r833 r8a1 r87m r89p r85f r85h r88g r800 r83x r879 r856 r80b r8af r85c r86q r89f r892 r804 r83i r875 r85z r88i r846 r80v r88o r820 r81b r835 r84g r8ak r80u r85w r806 r850 r8a7 r891 r88w r85m r8ax r83t r872 r80p r82x r845 r84r r81d r89v r8a4 r8a0 r88j r81n
2079 r9a3 r99d r94t r95s r99b r90c r95o r93v r90i r984 r983 r92x r91r r95r r94g r9aw r93y r918 r97b r93r r99x r9ab r92f r98o r93j r9ah r95b r90g r900 r91u r970 r90e r96h r953 r98h r96s r929 r901 r91m r96w r9ac r93u r904 r980 r97m r90w r90k r94w r92w r962 r964 r9ai r90a r98b r98n r94y r99e r97z r92u r90s r9ap r94h r90j r92m r97c r902 r91c r987 r998 r92b r95u r99v r94k r91t r94s r97i r971 r94z r92r r95a r9at r974 r99k r993 r99a r95q r90h r98r r96o r90d r9as r93a r943 r97q r95y r92e r9b1 r94v r9ad r92l
