year NF1 NF2 NF3 NF4 NF5 NF6 NF7 NF8 NF9 NF10 NF11 NF12 NF13 NF14 NF15 NF16 NF17 NF18 NF19 NF20 NF21 NF22 NF23 NF24 NF25 NF26 NF27 NF28 NF29 NF30 NF31 NF32 NF33 NF34 NF35 NF36 NF37 NF38 NF39 NF40 NF41 NF42 NF43 NF44 NF45 NF46 NF47 NF48 NF49 NF50 NF51 NF52 NF53 NF54 NF55 NF56 NF57 NF58 NF59 NF60 NF61 NF62 NF63 NF64 NF65 NF66 NF67 NF68 NF69 NF70 NF71 NF72 NF73 NF74 NF75 NF76 NF77 NF78 NF79 NF80 NF81 NF82 NF83 NF84 NF85 NF86 NF87 NF88 NF89 NF90 NF91 NF92 NF93 NF94 NF95 NF96 NF97 NF98 NF99 NF100
2020 m09a m09k m006 m030 m033 m06r m062 m01k m093 m09b m036 m098 m03x m08o m042 m00m m09t m0a2 m064 m0au m06z m03j m07k m09r m07s m073 m07d m078 m095 m03d m00p m04c m03e m04p m00s m04m m0ab m0av m06n m02x m09h m091 m04o m07y m04r m005 m03f m010 m05m m06s m0ai m00x m07h m08x m03b m04e m09w m023 m01p m067 m05n m08p m069 m01o m00k m00j m01f m0ap m01v m06d m0a8 m03i m02s m0a4 m00g m021 m0a7 m0aa m05q m02z m05h m06v m06h m083 m05j m055 m03p m00d m08k m044 m09j m05u m04l m02i m00h m071 m046 m08s m08t m08l
2021 m11n m156 m1am m10p m10g m19s m1ap m19d m132 m19r m1at m169 m19l m1ai m18x m17t m12c m18g m136 m10a m16e m10r m10b m14v m196 m148 m195 m1aq m10s m149 m1an m105 m1au m129 m1b0 m1a1 m18f m18w m19f m19x m11v m12l m15t m155 m17z m19a m12k m17o m158 m1b2 m16d m14d m15b m12r m162 m16j m1aa m14f m110 m144 m12n m1a5 m1a8 m16a m16k m175 m16m m12u m146 m153 m19g m16b m184 m14l m16u m157 m106 m183 m10k m18p m117 m171 m13p m1aj m11j m108 m10u m11p m1ak m11u m166 m103 m14q m18i m14r m16t m197 m11x m17q m18c
2022 m28y m24o m2al m24z m295 m24x m287 m27h m29u m2a0 m26y m202 m237 m23p m203 m263 m26t m27i m24v m25i m26n m22m m2ao m26r m25u m21i m20t m20e m205 m24b m227 m28e m240 m24f m209 m27t m24u m260 m20z m273 m21t m271 m27u m28f m22w m26m m25s m248 m219 m28p m20o m289 m2az m290 m278 m25z m23h m22j m20m m22z m206 m21b m253 m231 m29p m25a m26u m22i m244 m20a m241 m28c m28j m29s m23z m23v m23d m21q m274 m23m m23s m20b m294 m29g m27p m24g m21u m270 m20k m247 m22o m214 m299 m27v m24d m249 m298 m25f m279 m21a
2023 m35u m38a m37s m30k m30u m34o m33x m33v m35o m3a3 m30o m366 m32h m3aa m33w m37g m39i m30i m37j m37i m359 m37f m3a5 m30r m308 m34h m377 m3aj m309 m33n m35x m37x m355 m36z m38b m311 m33j m34w m34x m38p m35j m30l m316 m36v m30e m35m m392 m36g m33k m302 m360 m39n m3a9 m3a1 m31d m3au m32a m31r m386 m351 m30x m38o m31z m314 m31s m39h m33i m341 m321 m31h m32y m307 m348 m34e m38c m37e m354 m35g m3ab m37o m3am m30c m30n m375 m373 m30s m30w m30j m37p m3ad m32u m385 m35e m37l m30z m38m m3ag m38y m36e m305
2024 m42k m465 m4a1 m422 m44o m49r m42g m4ar m41z m43d m45l m49b m42c m44v m426 m443 m48p m423 m410 m47j m477 m43h m4ai m46l m41f m44x m41b m43v m448 m45m m459 m49y m43b m43e m40f m405 m445 m408 m4ab m41j m48z m40g m44b m46y m482 m40o m43p m479 m47c m40y m45o m40m m43q m40c m44i m43s m47t m40j m425 m437 m497 m43r m40h m47n m45k m43t m4ap m41r m40z m485 m40t m46n m49q m474 m48q m43l m4b3 m44j m464 m42e m42a m4a4 m41u m41q m44z m41i m40n m432 m42h m495 m40k m403 m49w m44y m42i m46q m48r m49c m46d m4a3
2025 m507 m565 m52m m51h m51t m56w m57p m55p m52u m532 m503 m51j m587 m5b1 m50b m51s m52s m53o m502 m58q m50v m5af m5au m59n m57i m50q m54s m51c m535 m54j m55x m59y m590 m54m m53e m55v m591 m501 m56d m55r m596 m50d m542 m57f m55k m59a m518 m513 m578 m58b m59c m582 m57b m58z m5at m57s m505 m545 m540 m51a m52l m5b3 m570 m560 m52x m527 m57k m52d m533 m58o m58h m573 m586 m53h m506 m50y m53x m556 m5am m59f m551 m50r m57e m50e m53b m562 m55e m575 m530 m53t m53w m508 m57x m56z m54d m55t m523 m51l m57t m510
2026 m6ax m698 m63l m67j m60d m61m m60z m63s m666 m69o m6ad m66u m6aa m631 m64b m64j m653 m68e m65s m64g m68b m6aj m625 m67p m639 m64v m671 m60i m68z m619 m63v m648 m66w m64h m60m m67b m67f m6ag m687 m66e m67s m68j m66j m63e m61y m62t m62b m63w m6b0 m6az m69p m65c m635 m600 m634 m60u m633 m66a m61a m6ae m64c m62y m621 m65h m660 m695 m686 m68k m69q m62p m66b m662 m67q m67x m692 m62c m62m m6as m64q m6b1 m65g m67h m69f m69m m69u m69a m61s m6ac m6b3 m6a3 m64i m60w m60q m69z m690 m63x m656 m68d m642 m66t
2027 m78n m72t m7ai m7ad m766 m72p m70n m75d m78y m7ax m741 m777 m78x m77j m73c m7aq m7am m76p m74m m75z m73f m71c m764 m73x m76f m72c m77e m736 m71n m748 m79l m71d m752 m742 m7b1 m72h m74n m78m m73n m757 m74q m72l m77u m77v m796 m77n m756 m74z m7aw m77a m751 m7ag m73b m70s m784 m781 m76a m76q m79v m7aj m79n m77t m72d m75y m71p m722 m76b m72k m767 m797 m7a0 m78s m73a m70m m782 m79p m78k m79j m77i m73t m738 m70p m74c m73y m79b m71t m75v m786 m79c m707 m75q m73p m7ab m78d m72q m79h m73l m701 m75x m75k
2028 m89u m806 m870 m86v m880 m856 m81t m86h m84w m86t m850 m8ae m82w m82g m81a m8aq m847 m859 m80c m81y m832 m80r m80e m867 m88w m866 m879 m83m m84n m814 m885 m84c m87t m83u m87w m89l m86k m88f m893 m8ah m88s m89f m87n m85o m81o m86g m88x m88m m8ab m89p m83e m87e m87y m82q m804 m80y m80n m83o m86p m81u m88n m8a2 m865 m861 m84s m858 m83w m88b m8ar m80o m88i m89q m86e m85f m89r m88g m87o m878 m873 m829 m84j m81g m82y m83s m84e m8b0 m84z m892 m8at m89s m83n m8a7 m887 m85d m81i m86z m87c m868 m89i m808
2029 m95b m95o m91f m9at m94q m90k m935 m99e m9ah m94a m96n m97o m918 m91w m91q m945 m95q m99c m971 m93v m9a0 m94h m97x m965 m986 m951 m947 m95p m988 m96w m90r m99d m972 m961 m931 m96s m98z m97p m99w m999 m9aw m99s m98n m90a m96h m954 m97u m93s m934 m92j m97q m94w m98l m9al m92v m99g m98r m90z m957 m926 m997 m99z m929 m905 m92o m97d m923 m9ap m92e m910 m9a9 m94e m99x m98q m90c m9az m90q m97n m96d m936 m98b m9b1 m99j m924 m95z m917 m99k m950 m977 m90i m9ai m987 m91h m9a8 m93f m97l m9af m91u m980 m9a6
